w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
1,1,1.15925e+00,1.82500e+00,1.66275e-02,2.45135e-03
2,1,1.17775e+00,1.82500e+00,2.56044e-02,3.86099e-03
3,1,1.19625e+00,1.82500e+00,3.42028e-02,5.67181e-03
4,1,1.21475e+00,1.82500e+00,3.78421e-02,7.07146e-03
5,1,1.23325e+00,1.82500e+00,3.55890e-02,7.18008e-03
6,1,1.25175e+00,1.82500e+00,3.11230e-02,6.44671e-03
7,1,1.27025e+00,1.82500e+00,2.73675e-02,5.67374e-03
8,1,1.28875e+00,1.82500e+00,2.50746e-02,5.14205e-03
9,1,1.30725e+00,1.82500e+00,2.40075e-02,4.84703e-03
10,1,1.32575e+00,1.82500e+00,2.37231e-02,4.72918e-03
11,1,1.34425e+00,1.82500e+00,2.38451e-02,4.73904e-03
12,1,1.36275e+00,1.82500e+00,2.41509e-02,4.84529e-03
13,1,1.38125e+00,1.82500e+00,2.45896e-02,5.03228e-03
14,1,1.39975e+00,1.82500e+00,2.52633e-02,5.29906e-03
15,1,1.41825e+00,1.82500e+00,2.64145e-02,5.66259e-03
16,1,1.43675e+00,1.82500e+00,2.84655e-02,6.16914e-03
17,1,1.45525e+00,1.82500e+00,3.21053e-02,6.91508e-03
18,1,1.47375e+00,1.82500e+00,3.80035e-02,8.04173e-03
19,1,1.49225e+00,1.82500e+00,4.41548e-02,9.43647e-03
20,1,1.51075e+00,1.82500e+00,4.40179e-02,1.00379e-02
21,1,1.52925e+00,1.82500e+00,3.84290e-02,9.40349e-03
22,1,1.54775e+00,1.82500e+00,3.36271e-02,8.68797e-03
23,1,1.56625e+00,1.82500e+00,3.10011e-02,8.34129e-03
24,1,1.58475e+00,1.82500e+00,2.99608e-02,8.28304e-03
25,1,1.60325e+00,1.82500e+00,3.00298e-02,8.41720e-03
26,1,1.62175e+00,1.82500e+00,3.10483e-02,8.70876e-03
27,1,1.64025e+00,1.82500e+00,3.30599e-02,9.17654e-03
28,1,1.65875e+00,1.82500e+00,3.60727e-02,9.87249e-03
29,1,1.67725e+00,1.82500e+00,3.93749e-02,1.07519e-02
30,1,1.69575e+00,1.82500e+00,4.05504e-02,1.13400e-02
31,1,1.71425e+00,1.82500e+00,3.82094e-02,1.11446e-02
32,1,1.73275e+00,1.82500e+00,3.48576e-02,1.06249e-02
33,1,1.75125e+00,1.82500e+00,3.23916e-02,1.02496e-02
34,1,1.76975e+00,1.82500e+00,3.09014e-02,1.00626e-02
35,1,1.78825e+00,1.82500e+00,3.00425e-02,9.99791e-03
36,1,1.80675e+00,1.82500e+00,2.95371e-02,1.00021e-02
37,1,1.82525e+00,1.82500e+00,2.92084e-02,1.00435e-02
38,1,1.84375e+00,1.82500e+00,2.89444e-02,1.01038e-02
39,1,1.86225e+00,1.82500e+00,2.86723e-02,1.01723e-02
40,1,1.88075e+00,1.82500e+00,2.83456e-02,1.02426e-02
41,1,1.89925e+00,1.82500e+00,2.79393e-02,1.03105e-02
42,1,1.91775e+00,1.82500e+00,2.74468e-02,1.03732e-02
43,1,1.93625e+00,1.82500e+00,2.68763e-02,1.04292e-02
44,1,1.95475e+00,1.82500e+00,2.62459e-02,1.04769e-02
45,1,1.97325e+00,1.82500e+00,2.55772e-02,1.05155e-02
46,1,1.99175e+00,1.82500e+00,2.48910e-02,1.05444e-02
47,1,2.01025e+00,1.82500e+00,2.42040e-02,1.05631e-02
48,1,2.02875e+00,1.82500e+00,2.35275e-02,1.05714e-02
49,1,2.04725e+00,1.82500e+00,2.28681e-02,1.05690e-02
50,1,2.06575e+00,1.82500e+00,2.22287e-02,1.05556e-02
51,1,2.08425e+00,1.82500e+00,2.16095e-02,1.05314e-02
52,1,2.10275e+00,1.82500e+00,2.10092e-02,1.04962e-02
53,1,2.12125e+00,1.82500e+00,2.04258e-02,1.04500e-02
54,1,2.13975e+00,1.82500e+00,1.98568e-02,1.03930e-02
55,1,2.15825e+00,1.82500e+00,1.93002e-02,1.03251e-02
56,1,2.17675e+00,1.82500e+00,1.87537e-02,1.02465e-02
57,1,2.19525e+00,1.82500e+00,1.82157e-02,1.01573e-02
58,1,2.21375e+00,1.82500e+00,1.76848e-02,1.00577e-02
59,1,2.23225e+00,1.82500e+00,1.71598e-02,9.94780e-03
60,1,2.25075e+00,1.82500e+00,1.66401e-02,9.82777e-03
61,1,2.26925e+00,1.82500e+00,1.61249e-02,9.69781e-03
62,1,2.28775e+00,1.82500e+00,1.56139e-02,9.55812e-03
63,1,2.30625e+00,1.82500e+00,1.51070e-02,9.40890e-03
64,1,2.32475e+00,1.82500e+00,1.46040e-02,9.25036e-03
65,1,2.34325e+00,1.82500e+00,1.41051e-02,9.08272e-03
66,1,2.36175e+00,1.82500e+00,1.36102e-02,8.90622e-03
67,1,2.38025e+00,1.82500e+00,1.31197e-02,8.72106e-03
68,1,2.39875e+00,1.82500e+00,1.26337e-02,8.52747e-03
69,1,2.41725e+00,1.82500e+00,1.21525e-02,8.32570e-03
70,1,2.43575e+00,1.82500e+00,1.16764e-02,8.11596e-03
71,1,2.45425e+00,1.82500e+00,1.12058e-02,7.89851e-03
72,1,2.47275e+00,1.82500e+00,1.07408e-02,7.67355e-03
73,1,2.49125e+00,1.82500e+00,1.02818e-02,7.44131e-03
74,1,2.50975e+00,1.82500e+00,9.82913e-03,7.20204e-03
75,1,2.52825e+00,1.82500e+00,9.38305e-03,6.95593e-03
76,1,2.54675e+00,1.82500e+00,8.94382e-03,6.70321e-03
